AQI,High AQI,PM 1 ,High PM 1 ,PM 2.5,High PM 2.5 ,PM 10 ,High PM 10 
138,169,44,51,72,81,82,101
140,169,45,49,72,81,83,100
195,286,54,69,88,116,105,151
233,286,59,68,100,116,120,141
198,252,55,63,90,106,107,129
153,208,46,53,76,93,88,107
148,183,46,51,75,85,86,104
149,183,46,53,75,85,87,105
193,249,56,65,88,105,100,128
183,235,53,61,85,101,97,121
174,208,51,56,82,93,95,111
162,193,49,55,79,88,90,103
165,204,49,56,80,92,92,107
197,252,56,65,89,106,103,130
193,225,55,61,88,98,102,123
175,221,52,61,83,97,95,113
206,256,58,65,93,107,110,134
222,269,60,68,97,111,115,134
178,232,52,63,84,100,98,121
189,235,53,60,87,101,100,126
206,301,56,74,92,121,108,140
215,302,58,73,95,122,110,150
170,208,50,57,81,93,94,114
158,197,48,55,78,89,89,107
161,208,49,57,79,93,90,107
178,215,52,59,84,95,95,111
189,221,56,62,87,97,98,112
184,235,54,61,85,101,98,122
174,211,53,59,82,94,94,110
164,215,51,58,80,95,91,110
160,208,49,57,78,93,89,115
146,183,47,54,74,85,85,107
162,215,49,58,79,95,91,111
159,201,49,58,78,91,89,107
152,208,48,56,76,93,86,111
153,208,48,57,76,93,87,109
149,197,47,56,75,89,86,103
160,193,49,55,78,88,89,106
158,197,49,56,78,89,88,104
153,190,48,55,76,87,87,105
158,201,48,57,78,91,88,105
149,186,47,54,75,86,85,106
147,193,47,56,75,88,84,101
137,176,46,54,72,83,81,96
138,169,47,54,72,81,81,94
137,176,46,55,72,83,80,95
133,169,46,51,70,81,79,93
108,162,42,51,63,79,73,88
112,152,42,48,64,76,75,92
118,166,42,51,66,80,77,95
123,169,43,51,67,81,78,97
116,162,42,50,65,79,76,93
122,169,43,53,67,81,77,96
130,183,44,55,69,85,80,98
137,186,45,56,72,86,81,99
134,180,44,53,71,84,81,104
156,232,48,64,77,100,88,114
188,262,55,71,86,109,97,127
208,280,59,72,93,114,105,142
219,293,61,74,96,118,109,143
227,286,62,71,99,116,112,137
223,290,61,75,98,117,111,136
247,306,64,78,105,128,119,149
